,col1
pinoy traditional,4
copla,4
pixie,4
old west,4
nisiotika,4
early avant garde,4
stride,4
chamber choir,4
stomp and holler,4
harpsichord,4
synthwave,4
monastic,4
basshall,4
american choir,4
abstract beats,4
ye ye,4
ebm,4
brega,4
wrestling,4
hoerspiel,4
acousmatic,4
rabindra sangeet,4
mpb,4
dhrupad,4
deep freestyle,4
shamanic,4
vintage schlager,4
dark cabaret,4
shanty,4
chunchaca,4
hard alternative,4
go-go,4
choro,4
drum and bass,4
son cubano,5
classic girl group,5
honky tonk,5
austrian choir,5
burmese traditional,5
bass music,5
cha-cha-cha,5
canadian singer-songwriter,5
deep talent show,5
j-idol,5
japanese instrumental,5
deep new wave,5
vocal trance,5
kannada bhava geethe,5
fingerstyle,5
radio symphony,5
no wave,5
new mexico music,5
cubaton,5
fado,5
urban contemporary,5
djent,5
roots americana,5
turntablism,5
german choir,5
mambo,5
galante era,5
early music,6
bouzouki,6
permanent wave,6
operetta,6
post-grunge,6
merseybeat,6
austro-german modernism,6
australian children's music,6
austin americana,6
boogie-woogie,6
steel guitar,6
contemporary post-bop,6
children's choir,6
theme,6
andean,6
adoracion,6
ambeat,6
early romantic era,7
electric bass,7
canadian celtic,7
hindustani vocal,7
opera chorus,7
instrumental bluegrass,7
zouk,7
german opera,7
drama,7
spirituals,7
classify,7
american romanticism,7
eurobeat,7
duranguense,7
modern bollywood,7
greek clarinet,7
baroque violin,7
ukulele,7
video game music,7
salsa international,7
bhangra,7
rumba,7
hyphy,7
accordion,7
lds,7
german literature,7
psychobilly,8
string quartet,8
gypsy,8
bboy,8
italian opera,8
rosary,8
anglican liturgy,8
axe,8
italian soprano,8
italian mezzo-soprano,8
dark wave,8
chicago drill,8
chicha,8
new romantic,8
miami bass,8
classic schlager,8
catstep,8
chutney,8
quiet storm,9
ragtime,9
hammond organ,9
lounge,9
aussietronica,9
talent show,9
post-romantic era,9
vallenato,9
hi-nrg,9
mellow gold,9
vocal harmony group,9
classic praise,9
grime,9
deep ragga,9
alternative americana,9
ballroom,10
deep regional mexican,10
brazilian composition,10
perreo,10
ranchera,10
dixieland,10
bounce,10
chopped and screwed,11
samba,11
gruperas inmortales,11
sertanejo,11
beach music,11
redneck,11
torch song,11
hard bop,11
velha guarda,11
cancion melodica,11
british invasion,11
tropical,11
atmosphere,12
cosmic american,12
vintage tango,12
romantico,12
nashville sound,12
water,12
canzone d'autore,12
hopebeat,12
white noise,12
c86,12
a cappella,12
brass band,12
british singer-songwriter,13
idol,13
tin pan alley,13
gymcore,13
crossover thrash,13
merengue,14
focus,14
haitian traditional,14
italian bass,14
italian baritone,14
anime score,14
choral,14
rare groove,14
entehno,15
experimental,15
british choir,15
boogie,15
girl group,15
carnatic,15
lullaby,15
scorecore,15
new age,15
industrial,15
escape room,16
baroque ensemble,16
novelty,16
late romantic era,16
epicore,16
surf music,16
lilith,16
deep norteno,16
bangla,16
beatlesque,17
mariachi,17
lute,17
praise,17
bakersfield sound,18
christian relaxative,18
christian music,18
grunge,18
cowboy western,20
italian tenor,20
cello,20
tango,21
crunk,21
exotica,21
afrofuturism,21
cabaret,21
vintage hollywood,21
deathcore,22
native american,22
library music,22
motown,22
compositional ambient,22
trance,22
violin,23
boogaloo,23
calypso,23
banjo,23
otacore,24
ska,24
cartoon,24
dreamo,25
poetry,25
filmi,26
flamenco,26
cantautor,27
historic piano performance,27
deep new americana,27
red dirt,27
abstract,27
canzone napoletana,27
easy listening,30
downtempo,31
freestyle,31
tejano,33
new americana,33
jam band,34
rebetiko,34
lo-fi beats,34
singer-songwriter,34
jawaiian,34
corridos tumbados,35
norteno,35
calming instrumental,35
bachata,36
brostep,36
children's music,36
lo-fi,37
tone,38
big beat,39
salsa,39
doo-wop,42
afrobeat,44
healing,44
bluegrass,44
new wave,44
hawaiian,45
neo mellow,48
celtic,49
comic,50
anime,51
ccm,51
boy band,53
classic bollywood,53
spa,56
classic opm,56
sleep,61
environmental,63
show tunes,64
avant-garde,64
opm,65
opera,69
disney,71
grupera,71
corrido,73
big band,75
big room,76
nica,81
movie tunes,82
background music,82
bossa nova,83
baroque,84
ambient,88
oi,101
hollywood,120
sound,166
